telNum,custId
932558666,221463646
932553923,221463647
932544078,221463648
932527458,221463649
932610388,221463650
932566661,221463651
932513012,221463652
932542692,221463653
932566333,221463654
932566334,221463655
932566335,221463656
932566336,221463657
932566337,221463658
932566338,221463659
932566339,221463660
932566340,221463661
932566341,221463662
932566342,221463663
932566343,221463664
932566344,221463665
932566345,221463666
932566346,221463667
932566347,221463668
932566348,221463669
932566349,221463670
932566350,221463671
932566351,221463672
932566352,221463673
932566353,221463674
932566354,221463675
932566355,221463676
932566356,221463677
932566357,221463678
932566358,221463679
932566359,221463680
932566360,221463681
932566361,221463682
932566362,221463683
932566363,221463684
932566364,221463685
932566365,221463686
932566366,221463687
932566367,221463688
932566368,221463689
932566369,221463690
932566370,221463691
932566371,221463692
932566372,221463693
932566373,221463694
932566374,221463695
932566375,221463696
932566376,221463697
932566377,221463698
932566378,221463699
932566379,221463700
932566380,221463701
932566381,221463702
932566382,221463703
932566383,221463704
932566384,221463705
932566385,221463706
932566386,221463707
932566387,221463708
932566388,221463709
932566389,221463710
932566390,221463711
932566391,221463712
932566392,221463713
932566393,221463714
932566394,221463715
932566395,221463716
932566396,221463717
932566397,221463718
932566398,221463719
932566399,221463720
932566400,221463721
932566401,221463722
932566402,221463723
932566403,221463724
932566404,221463725
932566405,221463726
932566406,221463727
932566407,221463728
932566408,221463729
932566409,221463730
932566410,221463731
932566411,221463732
932566412,221463733
932566413,221463734
932566414,221463735
932566415,221463736
932566416,221463737
932566417,221463738
932566418,221463739
932566419,221463740
932566420,221463741
932566421,221463742
932566422,221463743
932566423,221463744
932566424,221463745
932566425,221463746
932566426,221463747
932566427,221463748
932566428,221463749
932566429,221463750
932566430,221463751
932566431,221463752
932566432,221463753
932566433,221463754
932566434,221463755
932566435,221463756
932566436,221463757
932566437,221463758
932566438,221463759
932566439,221463760
932566440,221463761
932566441,221463762
932566442,221463763
932566443,221463764
932566444,221463765
932566445,221463766
932566446,221463767
932566447,221463768
932566448,221463769
932566449,221463770
932566450,221463771
932566451,221463772
932566452,221463773
932566453,221463774
932566454,221463775
932566455,221463776
932566456,221463777
932566457,221463778
932566458,221463779
932566459,221463780
932566460,221463781
932566461,221463782
932566462,221463783
932566463,221463784
932566464,221463785
932566465,221463786
932566466,221463787
932566467,221463788
932566468,221463789
932566469,221463790
932566470,221463791
932566471,221463792
932566472,221463793
932566473,221463794
932566474,221463795
932566475,221463796
932566476,221463797
932566477,221463798
932566478,221463799
932566479,221463800
932566480,221463801
932566481,221463802
932566482,221463803
932566483,221463804
932566484,221463805
932566485,221463806
932566486,221463807
932566487,221463808
932566488,221463809
932566489,221463810
932566490,221463811
932566491,221463812
932566492,221463813
932566493,221463814
932566494,221463815
932566495,221463816
932566496,221463817
932566497,221463818
932566498,221463819
932566499,221463820
